address,price,beds,baths,sqft,TotalBeds,TotalBaths,CleanedSqft,full_bed,half_bed
"1703-21 Iceboat Terrace, Toronto, ON",565000.0,1+1,1,0-499,2.0,1.0,250.0,1,1
"909-2 Anndale Drive, Toronto, ON",548000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"3006-500 Sherbourne Street, Toronto, ON",1250000.0,2,2,1200-1399,2.0,2.0,1300.0,2,0
"1419-181 Village Green Square, Toronto, ON",419000.0,1,1,0-499,1.0,1.0,250.0,1,0
"1711-160 Alton Towers Circle, Toronto, ON",635000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"38 Wheatsheaf Crescent, Toronto, ON",1029000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"1503-3220 Sheppard Avenue E, Toronto, ON",509900.0,1,1,500-599,1.0,1.0,550.0,1,0
"701-17 Dundonald Street, Toronto, ON",598000.0,1,1,0-499,1.0,1.0,250.0,1,0
"642-38 Grand Magazine Street, Toronto, ON",499000.0,1,1,500-599,1.0,1.0,550.0,1,0
"58 Firwood Crescent, Toronto, ON",1599999.0,3,5,2000-2500,3.0,5.0,2250.0,3,0
"16 Fleetwell Court, Toronto, ON",1260000.0,3+2,2,700-1100,5.0,2.0,900.0,3,2
"87 Oxford Street, Toronto, ON",1950000.0,3+1,4,1500-2000,4.0,4.0,1750.0,3,1
"2606-16 Bonnycastle Street, Toronto, ON",699900.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"5 Harvard Avenue, Toronto, ON",2899888.0,4+1,5,2500-3000,5.0,5.0,2750.0,4,1
"1411-736 Spadina Avenue S, Toronto, ON",859000.0,2,2,700-799,2.0,2.0,750.0,2,0
"206-25 Richgrove Drive, Toronto, ON",599000.0,2,2,0-499,2.0,2.0,250.0,2,0
"801-89 Dunfield Avenue, Toronto, ON",679000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"3507-300 Front Street, Toronto, ON",868000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"213-1200 Don Mills Road, Toronto, ON",509000.0,1,1,700-799,1.0,1.0,750.0,1,0
"UNIT 1911-51 Lower Simcoe Street, Toronto, ON",706000.0,1,1,500-599,1.0,1.0,550.0,1,0
"9 Gloucester Street, Toronto, ON",1799900.0,3,4,2000-2500,3.0,4.0,2250.0,3,0
"527-1881 Mcnicoll Avenue, Toronto, ON",789000.0,3,3,1800-1999,3.0,3.0,1900.0,3,0
"606-219 Fort York Boulevard, Toronto, ON",599900.0,1,1,600-699,1.0,1.0,650.0,1,0
"136 Portland Street, Toronto, ON",3388000.0,10+5,9,3500-5000,15.0,9.0,4250.0,10,5
"48 Bellbury Crescent, Toronto, ON",1850000.0,4,3,3000-3500,4.0,3.0,3250.0,4,0
"423-120 Parliament Street, Toronto, ON",498500.0,1,1,500-599,1.0,1.0,550.0,1,0
"227-60 Fairfax Crescent, Toronto, ON",480000.0,2+1,1,600-699,3.0,1.0,650.0,2,1
"318-195 Mccaul Street, Toronto, ON",1194900.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"228-1881 Mcnicoll Avenue, Toronto, ON",839000.0,3+1,3,0-499,4.0,3.0,250.0,3,1
"4308-70 Temperance Street, Toronto, ON",599000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"PH 201-8 Scollard Street, Toronto, ON",1099000.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"2302-500 Sherbourne Street, Toronto, ON",3280000.0,3,3,2500-2749,3.0,3.0,2624.0,3,0
"514-500 Dupont Street, Toronto, ON",699000.0,2,2,600-699,2.0,2.0,650.0,2,0
"15A Davidson Avenue, Toronto, ON",908000.0,3,3,1500-2000,3.0,3.0,1750.0,3,0
"1601-200 Bloor Street W, Toronto, ON",1349000.0,2,2,800-899,2.0,2.0,850.0,2,0
"1310-30 Samuel Wood, Toronto, ON",554900.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"507-1603 Eglinton Avenue W, Toronto, ON",625000.0,2,2,700-799,2.0,2.0,750.0,2,0
"4101-19 Bathurst Street, Toronto, ON",579000.0,1,1,500-599,1.0,1.0,550.0,1,0
"505-725 Don Mills Road, Toronto, ON",478600.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"205-980 Yonge Street, Toronto, ON",999000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"1403-78 Harrison Garden Boulevard, Toronto, ON",809000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"26 Jubilee Crescent, Toronto, ON",1099000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"34-109 Plumrose Pathway, Toronto, ON",874900.0,3+1,2,700-1100,4.0,2.0,900.0,3,1
"#309-555 Yonge Street, Toronto, ON",599900.0,2,2,800-899,2.0,2.0,850.0,2,0
"1508-33 Bay Street, Toronto, ON",1049000.0,2+1,2,900-999,3.0,2.0,950.0,2,1
"926 Willowdale Avenue, Toronto, ON",1535000.0,3+3,2,1100-1500,6.0,2.0,1300.0,3,3
"PH2-181 Bedford Road, Toronto, ON",3295000.0,3,4,2000-2249,3.0,4.0,2124.0,3,0
"703-33 Mill Street, Toronto, ON",585000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"3038 Islington Avenue, Toronto, ON",949999.0,3,4,2000-2500,3.0,4.0,2250.0,3,0
"1111E-36 Lisgar Street, Toronto, ON",458800.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"207-1 Massey Square, Toronto, ON",449900.0,2,1,1000-1199,2.0,1.0,1100.0,2,0
"608-118 Merchants' Wharf N/a S, Toronto, ON",2399000.0,2,3,1200-1399,2.0,3.0,1300.0,2,0
"269 Leslie Street, Toronto, ON",2550000.0,9+1,7,3500-5000,10.0,7.0,4250.0,9,1
"901-1990 Bloor Street, Toronto, ON",699990.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"131-1173 Dundas Street E, Toronto, ON",1188000.0,1,2,1400-1599,1.0,2.0,1500.0,1,0
"10 Cavell Avenue, Toronto, ON",949000.0,3,1,700-1100,3.0,1.0,900.0,3,0
"12 Cavell Avenue, Toronto, ON",949000.0,3,1,1100-1500,3.0,1.0,1300.0,3,0
"1609-235 Sherway Gardens Road, Toronto, ON",549900.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"245 Touchstone Drive, Toronto, ON",849900.0,3+1,6,1100-1500,4.0,6.0,1300.0,3,1
"1410-2050 Bridletowne Circle, Toronto, ON",569000.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"3911-85 Queens Wharf Road, Toronto, ON",565000.0,1,1,500-599,1.0,1.0,550.0,1,0
"1314-438 King Street W, Toronto, ON",799900.0,2,2,700-799,2.0,2.0,750.0,2,0
"610-543 Richmond Street, Toronto, ON",679900.0,1,1,0-499,1.0,1.0,250.0,1,0
"3107-50 Ordnance Street, Toronto, ON",698800.0,2,2,700-799,2.0,2.0,750.0,2,0
"203 Glencairn Avenue, Toronto, ON",5400000.0,6,5,3500-5000,6.0,5.0,4250.0,6,0
"1211-49 East Liberty Street, Toronto, ON",699900.0,2,2,600-699,2.0,2.0,650.0,2,0
"1602C-662 Sheppard Avenue E, Toronto, ON",2100000.0,2+1,3,2000-2249,3.0,3.0,2124.0,2,1
"4 Bowman Street, Toronto, ON",3450000.0,3+2,5,3000-3500,5.0,5.0,3250.0,3,2
"526-250 Lawrence Avenue W, Toronto, ON",639900.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"1811-1 Palace Pier Court, Toronto, ON",850000.0,1+1,2,1000-1199,2.0,2.0,1100.0,1,1
"1404-101 Erskine Avenue, Toronto, ON",590000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"808-2460 Eglinton Avenue E, Toronto, ON",470000.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"812-50 Dunfield Avenue, Toronto, ON",599900.0,1+1,2,700-799,2.0,2.0,750.0,1,1
"307-621 Sheppard Avenue E, Toronto, ON",999000.0,2,2,800-899,2.0,2.0,850.0,2,0
"1817-35 Hollywood Avenue, Toronto, ON",769500.0,2+1,2,800-899,3.0,2.0,850.0,2,1
"506-90 Queens Wharf Road, Toronto, ON",648000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"225 Dunforest Avenue, Toronto, ON",3960000.0,5+1,6,3500-5000,6.0,6.0,4250.0,5,1
"12 Jasmine Road, Toronto, ON",1050000.0,3+1,2,700-1100,4.0,2.0,900.0,3,1
"1410-5 St Joseph Street, Toronto, ON",979000.0,2+1,2,800-899,3.0,2.0,850.0,2,1
"97 Drewry Avenue, Toronto, ON",1650000.0,4+1,5,3000-3500,5.0,5.0,3250.0,4,1
"403-10 Eva Road, Toronto, ON",729000.0,2,2,900-999,2.0,2.0,950.0,2,0
"615-39 Kimbercroft Court E, Toronto, ON",540000.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"826-251 Jarvis Street, Toronto, ON",560560.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"704-311 Richmond Street E, Toronto, ON",518500.0,1,1,600-699,1.0,1.0,650.0,1,0
"22 Woodthrush Court, Toronto, ON",3198000.0,5,4,3000-3500,5.0,4.0,3250.0,5,0
"PH08-10 Eva Road, Toronto, ON",749000.0,2,2,800-899,2.0,2.0,850.0,2,0
"405-200 Sudbury Street, Toronto, ON",649000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"911-30 Tretti Way, Toronto, ON",558000.0,2,2,500-599,2.0,2.0,550.0,2,0
"1201-5 Defries Street, Toronto, ON",649000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"306-18 Rean Drive, Toronto, ON",699900.0,2,2,800-899,2.0,2.0,850.0,2,0
"1111-3 Rean Drive, Toronto, ON",545000.0,1,1,600-699,1.0,1.0,650.0,1,0
"1402-1603 Eglington Avenue W, Toronto, ON",540000.0,1+1,1,0-499,2.0,1.0,250.0,1,1
"# 506-297 College Street, Toronto, ON",599900.0,1,1,500-599,1.0,1.0,550.0,1,0
"703-80 Grandravine Drive N, Toronto, ON",469000.0,2,1,900-999,2.0,1.0,950.0,2,0
"64 Northcote Avenue, Toronto, ON",1999999.0,4+2,3,2000-2500,6.0,3.0,2250.0,4,2
"111-140 Canon Jackson Drive S, Toronto, ON",499900.0,1,1,500-599,1.0,1.0,550.0,1,0
"2001-50 Brian Harrison Way, Toronto, ON",538000.0,1+1,2,700-799,2.0,2.0,750.0,1,1
"115-1100 Sheppard Avenue, Toronto, ON",699000.0,2,2,700-799,2.0,2.0,750.0,2,0
"3303-10 York Street, Toronto, ON",999900.0,2,2,800-899,2.0,2.0,850.0,2,0
"212-3520 Danforth Avenue, Toronto, ON",539900.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"182 Gracefield Avenue, Toronto, ON",1990000.0,4+1,4,3500-5000,5.0,4.0,4250.0,4,1
"4409-395 Bloor Street E, Toronto, ON",499999.0,1,1,0-499,1.0,1.0,250.0,1,0
"1203-7 Bishop Avenue, Toronto, ON",525000.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"39 Watson Street, Toronto, ON",1595000.0,4+1,4,2500-3000,5.0,4.0,2750.0,4,1
"1703-1 The Esplanade N/a, Toronto, ON",569000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"522-543 Richmond Street W, Toronto, ON",579999.0,1,1,500-599,1.0,1.0,550.0,1,0
"303-1195 The Queens Way, Toronto, ON",748888.0,3,2,900-999,3.0,2.0,950.0,3,0
"325-38 Iannuzzi Street, Toronto, ON",599900.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"701-105 Mccaul Street, Toronto, ON",455000.0,1,1,575,1.0,1.0,575.0,1,0
"1212-2050 Bridletowne Circle, Toronto, ON",529900.0,3,2,1200-1399,3.0,2.0,1300.0,3,0
"2514-35 Mercer Street, Toronto, ON",799900.0,2,2,600-699,2.0,2.0,650.0,2,0
"2901-8 Mercer Street, Toronto, ON",590000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"3607-65 St Mary Street, Toronto, ON",750000.0,1,1,500-599,1.0,1.0,550.0,1,0
"15-266 Finch Avenue E, Toronto, ON",788800.0,2+1,2,800-899,3.0,2.0,850.0,2,1
"906-8 Mondeo Drive, Toronto, ON",469900.0,1,1,500-599,1.0,1.0,550.0,1,0
"114-371 Orton Park Road, Toronto, ON",699000.0,3,2,1200-1399,3.0,2.0,1300.0,3,0
"302-30 Inn On The Park Drive, Toronto, ON",609800.0,1+1,2,700-799,2.0,2.0,750.0,1,1
"6 Arkley Crescent, Toronto, ON",1469001.0,4+2,5,700-1100,6.0,5.0,900.0,4,2
"309-28 Hollywood Avenue, Toronto, ON",769000.0,2+1,2,0-499,3.0,2.0,250.0,2,1
"926-26 Gibbs Road, Toronto, ON",705000.0,3,2,900-999,3.0,2.0,950.0,3,0
"1213-115 Denison Avenue, Toronto, ON",1145000.0,2,2,700-799,2.0,2.0,750.0,2,0
"418-160 Flemington Road, Toronto, ON",485000.0,1,1,500-599,1.0,1.0,550.0,1,0
"2203-380 Dixon Road, Toronto, ON",410000.0,1,1,700-799,1.0,1.0,750.0,1,0
"302-106 Dovercourt Road, Toronto, ON",679000.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"104B-195 St Patrick Street, Toronto, ON",928000.0,2,1,1000-1199,2.0,1.0,1100.0,2,0
"906-20 Shore Breeze Drive, Toronto, ON",899990.0,2+1,2,700-799,3.0,2.0,750.0,2,1
"509-60 George Butchart Drive, Toronto, ON",465000.0,1,1,500-599,1.0,1.0,550.0,1,0
"75 Harvie Avenue, Toronto, ON",1399000.0,4,3,1100-1500,4.0,3.0,1300.0,4,0
"207-3085 Bloor Street W, Toronto, ON",650000.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"PH20-5233 Dundas Street W, Toronto, ON",909000.0,2,2,1200-1399,2.0,2.0,1300.0,2,0
"1204-1 Valhalla Inn Road, Toronto, ON",629900.0,2,2,800-899,2.0,2.0,850.0,2,0
"807-3420 Eglinton Avenue E, Toronto, ON",450000.0,3,2,1400-1599,3.0,2.0,1500.0,3,0
"108-4001 Don Mills Road, Toronto, ON",649950.0,2,2,1200-1399,2.0,2.0,1300.0,2,0
"19 Southvale Drive, Toronto, ON",1850000.0,2+2,2,1100-1500,4.0,2.0,1300.0,2,2
"139 Beechwood Avenue, Toronto, ON",4588000.0,4+1,6,3500-5000,5.0,6.0,4250.0,4,1
"40 Admiral Road, Toronto, ON",4650000.0,5+3,5,3000-3500,8.0,5.0,3250.0,5,3
"3512-20 Lombard Street, Toronto, ON",588000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"4815-45 Charles Street, Toronto, ON",899000.0,1+1,1,800-899,2.0,1.0,850.0,1,1
"306-435 Richmond Street W, Toronto, ON",719000.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"204-109 Ossington Avenue, Toronto, ON",599999.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"316-816 Lansdowne Avenue, Toronto, ON",469000.0,1,1,500-599,1.0,1.0,550.0,1,0
"509-2628 Mccowan Road, Toronto, ON",580000.0,2,2,0-499,2.0,2.0,250.0,2,0
"408-18 Harbour Street, Toronto, ON",585000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"2709-575 Bloor Street E, Toronto, ON",599900.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"1910-1080 Bay Street, Toronto, ON",1198800.0,2,2,800-899,2.0,2.0,850.0,2,0
"3203-19 Western Battery Road, Toronto, ON",625900.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"807-2245 Eglinton Avenue E, Toronto, ON",399900.0,1,1,700-799,1.0,1.0,750.0,1,0
"1607-78 Harrison Garden Boulevard, Toronto, ON",1099000.0,3,2,1400-1599,3.0,2.0,1500.0,3,0
"514-255 The Kingsway N/a, Toronto, ON",739990.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"1804-195 Mccaul Street, Toronto, ON",723900.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"PH07-39 Brant Street, Toronto, ON",1249000.0,2,3,1000-1199,2.0,3.0,1100.0,2,0
"2603-470 Front Street W, Toronto, ON",1599900.0,2+1,2,900-999,3.0,2.0,950.0,2,1
"143-42 Elsa Vine Way, Toronto, ON",750000.0,4,3,1000-1199,4.0,3.0,1100.0,4,0
"1304-240 Scarlett Road, Toronto, ON",725000.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"1109-16 Yonge Street, Toronto, ON",989000.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"1001-501 Adelaide Street W, Toronto, ON",1049900.0,2,2,900-999,2.0,2.0,950.0,2,0
"307-88 Charles Street E, Toronto, ON",454900.0,1,1,500-599,1.0,1.0,550.0,1,0
"2607-2609 Keele Street E, Toronto, ON",2450000.0,10+5,6,2000-2500,15.0,6.0,2250.0,10,5
"86 Portland Street S, Toronto, ON",2699900.0,8,3,3000-3500,8.0,3.0,3250.0,8,0
"2103-110 Charles Street E, Toronto, ON",995000.0,2,2,900-999,2.0,2.0,950.0,2,0
"1214-1 Massey Square, Toronto, ON",440000.0,1,1,700-799,1.0,1.0,750.0,1,0
"1416-370 Dixon Road, Toronto, ON",449000.0,2,1,1000-1199,2.0,1.0,1100.0,2,0
"705-20 Olive Avenue, Toronto, ON",519000.0,1,1,600-699,1.0,1.0,650.0,1,0
"1607-290 Adelaide Street W, Toronto, ON",560000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"3002-200 Bloor Street W, Toronto, ON",2049888.0,2+1,3,1600-1799,3.0,3.0,1700.0,2,1
"408-800 King Street W, Toronto, ON",850000.0,1+1,2,800-899,2.0,2.0,850.0,1,1
"2402-281 Mutual Street, Toronto, ON",648800.0,1,1,500-599,1.0,1.0,550.0,1,0
"2563 Kingston Road, Toronto, ON",1290000.0,4+1,3,1500-2000,5.0,3.0,1750.0,4,1
"525-85 East Liberty Street, Toronto, ON",929000.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"607-235 Grandravine Drive, Toronto, ON",349900.0,1,1,600-699,1.0,1.0,650.0,1,0
"1006-99 Avenue Road, Toronto, ON",1149999.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"411-1 Strathgowan Ave Avenue, Toronto, ON",1399900.0,2,3,1200-1399,2.0,3.0,1300.0,2,0
"803-575 Bloor Street E, Toronto, ON",869900.0,2,2,900-999,2.0,2.0,950.0,2,0
"PH1027-55 Stewart Street, Toronto, ON",3190000.0,2+1,3,2500-2749,3.0,3.0,2624.0,2,1
"218-1603 Eglinton Avenue W, Toronto, ON",499000.0,1,1,500-599,1.0,1.0,550.0,1,0
"1006-55 East Liberty Street, Toronto, ON",609900.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"2611-33 Shore Breeze Drive, Toronto, ON",748888.0,2,2,700-799,2.0,2.0,750.0,2,0
"14 Haynes Avenue, Toronto, ON",1148000.0,3+2,4,1500-2000,5.0,4.0,1750.0,3,2
"TH77B-85 East Liberty Street, Toronto, ON",1065000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"705-51 Harrison Garden Boulevard, Toronto, ON",575000.0,1,1,0-499,1.0,1.0,250.0,1,0
"2603-300 Front Street W, Toronto, ON",749900.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"504-42 Charles Street E, Toronto, ON",579000.0,1,1,500-599,1.0,1.0,550.0,1,0
"908-60 Shuter Street, Toronto, ON",649900.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"2105-5793 Yonge Street, Toronto, ON",669900.0,2,1,700-799,2.0,1.0,750.0,2,0
"12 Kenewen Court, Toronto, ON",1395000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"2404-99 Broadway Avenue, Toronto, ON",699000.0,2,2,600-699,2.0,2.0,650.0,2,0
"802-80 Esther Lorrie Drive, Toronto, ON",499000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"868 Broadview Avenue, Toronto, ON",1.0,2,2,2000-2500,2.0,2.0,2250.0,2,0
"2804-14 York Street, Toronto, ON",579000.0,1,1,600-699,1.0,1.0,650.0,1,0
"922-20 John Street, Toronto, ON",579000.0,1,1,500-599,1.0,1.0,550.0,1,0
"904-2369 Danforth Avenue, Toronto, ON",599000.0,1+1,2,500-599,2.0,2.0,550.0,1,1
"503-77 Charles Street W, Toronto, ON",2098000.0,1+1,2,1400-1599,2.0,2.0,1500.0,1,1
"129 Mckee Avenue S, Toronto, ON",2180000.0,3+2,3,1100-1500,5.0,3.0,1300.0,3,2
"2201-470 Front Street, Toronto, ON",988000.0,2,2,900-999,2.0,2.0,950.0,2,0
"1001-30 Old Mill Road, Toronto, ON",2769000.0,2+1,3,1600-1799,3.0,3.0,1700.0,2,1
"1908-159 Wellesley Street E, Toronto, ON",830000.0,3,2,800-899,3.0,2.0,850.0,3,0
"PH02-10 Tobermory Drive, Toronto, ON",494900.0,2,1,800-899,2.0,1.0,850.0,2,0
"3 Silverwood Avenue, Toronto, ON",4358000.0,4,4,2500-3000,4.0,4.0,2750.0,4,0
"512-115 Mcmahon Drive, Toronto, ON",609000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"1617-155 Yorkville Avenue, Toronto, ON",650000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"106A Pembroke Street, Toronto, ON",1899000.0,9+3,7,2500-3000,12.0,7.0,2750.0,9,3
"1502-575 Bloor Street E, Toronto, ON",1189888.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"1918-4k Spadina Avenue, Toronto, ON",849000.0,2+1,2,800-899,3.0,2.0,850.0,2,1
"709-50 Power Street, Toronto, ON",619000.0,2,2,600-699,2.0,2.0,650.0,2,0
"1909-9 Bogert Avenue, Toronto, ON",699900.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"305-118 Merchants' Wharf , Toronto, ON",1499900.0,2+1,3,1200-1399,3.0,3.0,1300.0,2,1
"3806-138 Downes Street, Toronto, ON",659900.0,1,1,500-599,1.0,1.0,550.0,1,0
"806-115 Antibes Drive, Toronto, ON",695000.0,3,2,1600-1799,3.0,2.0,1700.0,3,0
"417-225 Davenport Road, Toronto, ON",775000.0,1+2,1,800-899,3.0,1.0,850.0,1,2
"507-8 Wellesley Street E, Toronto, ON",449000.0,1,1,500-599,1.0,1.0,550.0,1,0
"16 Dellbrook Crescent, Toronto, ON",899000.0,3+2,2,1100-1500,5.0,2.0,1300.0,3,2
"4006-11 Wellesley Street W, Toronto, ON",718000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"509-35 Bastion Street, Toronto, ON",829000.0,2+1,3,800-899,3.0,3.0,850.0,2,1
"609-32 Forest Manor Road, Toronto, ON",599000.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"308-88 Davenport Road, Toronto, ON",2450000.0,2,2,1600-1799,2.0,2.0,1700.0,2,0
"2605-70 Princess Street, Toronto, ON",999000.0,3,3,800-899,3.0,3.0,850.0,3,0
"1006-65 St Mary Street, Toronto, ON",599000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"903-30 Inn On The Park Drive, Toronto, ON",1689000.0,3,3,1600-1799,3.0,3.0,1700.0,3,0
"515-1185 The Queensway Way, Toronto, ON",544000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"203-17 Dundonald Street, Toronto, ON",465000.0,1,1,0-499,1.0,1.0,250.0,1,0
"808-72 Esther Shiner Boulevard, Toronto, ON",599000.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"32 Cedarcrest Drive, Toronto, ON",1799999.0,4,2,1500-2000,4.0,2.0,1750.0,4,0
"1324-2 Eva Road, Toronto, ON",620000.0,2,2,700-799,2.0,2.0,750.0,2,0
"513-11 St Joseph Street, Toronto, ON",919000.0,2+1,3,0-499,3.0,3.0,250.0,2,1
"309-384 Sunnyside Avenue, Toronto, ON",2499000.0,2+1,2,2000-2249,3.0,2.0,2124.0,2,1
"421-36 Zorra Street E, Toronto, ON",538800.0,2,1,500-599,2.0,1.0,550.0,2,0
"50 Cole Street, Toronto, ON",1124999.0,3,3,1200-1399,3.0,3.0,1300.0,3,0
"404-1239 Dundas Street W, Toronto, ON",699897.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"1508-130 River Street, Toronto, ON",725000.0,2,2,600-699,2.0,2.0,650.0,2,0
"1803-19 Western Battery Road, Toronto, ON",629900.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"215-870 Jane Street, Toronto, ON",650000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"13 Old Forest Hill Road, Toronto, ON",6500000.0,6,5,3500-5000,6.0,5.0,4250.0,6,0
"101 Ninth Street, Toronto, ON",1134900.0,3,2,1500-2000,3.0,2.0,1750.0,3,0
"15-861 Sheppard Avenue W, Toronto, ON",888888.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"PH3-50 Town Centre Court, Toronto, ON",589900.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"225 Rosemount Avenue, Toronto, ON",2239000.0,6+2,4,3000-3500,8.0,4.0,3250.0,6,2
"PH6-550 Front Street W, Toronto, ON",1098999.0,2,2,1200-1399,2.0,2.0,1300.0,2,0
"813-320 Richmond Street E, Toronto, ON",595000.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"4205-17 Bathurst Street, Toronto, ON",549900.0,1,1,0-499,1.0,1.0,250.0,1,0
"802-1103 Leslie Street, Toronto, ON",495000.0,1,1,600-699,1.0,1.0,650.0,1,0
"1206-88 Broadway Avenue, Toronto, ON",987800.0,2,2,900-999,2.0,2.0,950.0,2,0
"11 Shires Lane, Toronto, ON",1649000.0,4,4,2500-3000,4.0,4.0,2750.0,4,0
"PH-F-7 Broadway Avenue, Toronto, ON",525000.0,1,1,600-699,1.0,1.0,650.0,1,0
"120 Anthony Road, Toronto, ON",1998888.0,4+1,5,2000-2500,5.0,5.0,2250.0,4,1
"505-801 Sheppard Avenue W, Toronto, ON",519800.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"315-185 Legion Road N, Toronto, ON",779000.0,1+1,2,900-999,2.0,2.0,950.0,1,1
"90 Charlton Boulevard, Toronto, ON",1648000.0,4,4,2500-3000,4.0,4.0,2750.0,4,0
"49 Timberlane Drive, Toronto, ON",3150000.0,5,4,3500-5000,5.0,4.0,4250.0,5,0
"20 Saddletree Drive, Toronto, ON",2298000.0,4+1,4,2500-3000,5.0,4.0,2750.0,4,1
"1906-1 The Esplanade Avenue, Toronto, ON",820000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"1106-100 Wingarden Court, Toronto, ON",519900.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"1504-33 Bay Street, Toronto, ON",830000.0,2,2,800-899,2.0,2.0,850.0,2,0
"1305-120 Harrison Garden Boulevard, Toronto, ON",628000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"4-76 Munro Street, Toronto, ON",849888.0,2,2,900-999,2.0,2.0,950.0,2,0
"297 Churchill Avenue, Toronto, ON",2999000.0,4+1,6,3500-5000,5.0,6.0,4250.0,4,1
"619-585 Bloor Street E, Toronto, ON",598000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"827-461 Adelaide Street W, Toronto, ON",599000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"LPH02-21 Nelson Street, Toronto, ON",1249000.0,2,3,1200-1399,2.0,3.0,1300.0,2,0
"2206-25 Grenville Street, Toronto, ON",519000.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"903-220 George Street, Toronto, ON",1150000.0,2,3,1200-1399,2.0,3.0,1300.0,2,0
"1701-1328 Birchmount Road, Toronto, ON",608000.0,2,2,900-999,2.0,2.0,950.0,2,0
"7 Mark Street, Toronto, ON",2000000.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"903-33 Bay Street, Toronto, ON",945000.0,2+1,2,900-999,3.0,2.0,950.0,2,1
